Artículo,,,Nombre artículo,Serie,Documento,Fecha,Agrup.,Nº agrup.,Uni.agr.,,Unid.,Precio,Dto1,,Importe,,,,,Factura
,,,00011 - CONTADO ZOCODOVER,,,,,,,,,,,,,,,,,
,,,Total albarán 11911065T,,,,,,,,"0,325",,,,"9,65",,,,,
MCN001,,,UD. CHUPA CHUPS,11,   911066T,08/12/2025,,,,,2,"0,33",,,"0,66",,,,,T251208
,,,Total albarán 11911066T,,,,,,,,2,,,,"0,66",,,,,
MBB001,,,KG. BOMBONES SURTIDOS,11,   911075T,08/12/2025,,,,,"0,75","51,7",,,"38,78",,,,,T251208
,,,Total albarán 11911075T,,,,,,,,"0,75",,,,"38,78",,,,,
MBB003,,,KG. LENGUAS DE GATO,11,   911079T,08/12/2025,,,,,"0,24","34,1",,,"8,18",,,,,T251208
,,,Total albarán 11911079T,,,,,,,,"0,24",,,,"8,18",,,,,
MBB003,,,KG. LENGUAS DE GATO,11,   911082T,08/12/2025,,,,,"0,25","34,1",,,"8,53",,,,,T251208
,,,Total albarán 11911082T,,,,,,,,"0,25",,,,"8,53",,,,,
MTU002,,,UD. TURRON JIJONA 300 GR.,11,   911083T,08/12/2025,,,,,1,"12,1",,,"12,1",,,,,T251208
,,,Total albarán 11911083T,,,,,,,,1,,,,"12,1",,,,,
MFA001,,,KG. FRUTA ESCARCHADA,11,   911096T,08/12/2025,,,,,"0,14","29,7",,,"4,16",,,,,T251208
,,,Total albarán 11911096T,,,,,,,,"0,14",,,,"4,16",,,,,
MFA002,,,KG. FRUTAS DE ARAGON,11,   911104T,08/12/2025,,,,,"0,1",33,,,"3,3",,,,,T251208
,,,Total albarán 11911104T,,,,,,,,"0,1",,,,"3,3",,,,,
MFA001,,,KG. FRUTA ESCARCHADA,11,   911106T,08/12/2025,,,,,"0,21","29,7",,,"6,24",,,,,T251208
,,,Total albarán 11911106T,,,,,,,,"0,21",,,,"6,24",,,,,
MCN001S,,,UD. CHUPA CHUPS GRANDE,11,   911109T,08/12/2025,,,,,1,1,,,1,,,,,T251208
MCG006A,,,UD. SOMBRILLA DE CHOCOLATE 15 GMS.,11,   911109T,08/12/2025,,,,,1,"1,1",,,"1,1",,,,,T251208
MCG007A,,,UD. BOLSA MONEDAS CHOCOLATE 50 gm.,11,   911109T,08/12/2025,,,,,1,"1,65",,,"1,65",,,,,T251208
MTU010,,,KG. ALMENDRAS RELLENAS,11,   911109T,08/12/2025,,,,,"0,11","41,8",,,"4,6",,,,,T251208
,,,Total albarán 11911109T,,,,,,,,"3,11",,,,"8,35",,,,,
MFA004,,,KG. MARRON GLACE,11,   911111T,08/12/2025,,,,,"0,58","61,6",,,"35,73",,,,,T251208
,,,Total albarán 11911111T,,,,,,,,"0,58",,,,"35,73",,,,,
MFA001,,,KG. FRUTA ESCARCHADA,11,   911112T,08/12/2025,,,,,"0,5","29,7",,,"14,85",,,,,T251208
MTU011,,,KG. PASTELES YEMA,11,   911112T,08/12/2025,,,,,"0,15","38,5",,,"5,78",,,,,T251208
,04/03/2026 20:10:38,,,,,,,,,,,,,,,,,Página: 27,,
,,,Total albarán 11911112T,,,,,,,,"0,65",,,,"20,63",,,,,
MFA001,,,KG. FRUTA ESCARCHADA,11,   911113T,08/12/2025,,,,,"0,4","29,7",,,"11,88",,,,,T251208
,,,Total albarán 11911113T,,,,,,,,"0,4",,,,"11,88",,,,,
MTU016,,,KG. POLVORONES Y MANTECADOS,11,   911121T,08/12/2025,,,,,"0,135","19,8",,,"2,67",,,,,T251208
MFA001,,,KG. FRUTA ESCARCHADA,11,   911121T,08/12/2025,,,,,"0,265","29,7",,,"7,87",,,,,T251208
,,,Total albarán 11911121T,,,,,,,,"0,4",,,,"10,54",,,,,
MTU010,,,KG. ALMENDRAS RELLENAS,11,   911122T,08/12/2025,,,,,"0,04","41,8",,,"1,67",,,,,T251208
,,,Total albarán 11911122T,,,,,,,,"0,04",,,,"1,67",,,,,
MFA001,,,KG. FRUTA ESCARCHADA,11,   911131T,08/12/2025,,,,,"0,03","29,7",,,"0,89",,,,,T251208
MBB001,,,KG. BOMBONES SURTIDOS,11,   911131T,08/12/2025,,,,,"0,05","51,7",,,"2,59",,,,,T251208
,,,Total albarán 11911131T,,,,,,,,"0,08",,,,"3,48",,,,,
MTU010,,,KG. ALMENDRAS RELLENAS,11,   911134T,08/12/2025,,,,,"0,195","41,8",,,"8,15",,,,,T251208
,,,Total albarán 11911134T,,,,,,,,"0,195",,,,"8,15",,,,,
MCN011,,,UD. MELODY POPS,11,   911143T,08/12/2025,,,,,1,"0,66",,,"0,66",,,,,T251208
,,,Total albarán 11911143T,,,,,,,,1,,,,"0,66",,,,,
MFA004,,,KG. MARRON GLACE,11,   911146T,08/12/2025,,,,,"0,065","61,6",,,4,,,,,T251208
,,,Total albarán 11911146T,,,,,,,,"0,065",,,,4,,,,,
MCK015A,,,UD. TUBO MENTOS FRUTAS 38 GR.,11,   911151T,08/12/2025,,,,,1,"1,1",,,"1,1",,,,,T251208
MCG005,,,UD. SOMBRILLA DE CHOCOLATE 10 GMS.,11,   911151T,08/12/2025,,,,,2,"0,9",,,"1,8",,,,,T251208
,,,Total albarán 11911151T,,,,,,,,3,,,,"2,9",,,,,
MBB001,,,KG. BOMBONES SURTIDOS,11,   911172T,08/12/2025,,,,,"0,285","51,7",,,"14,73",,,,,T251208
,,,Total albarán 11911172T,,,,,,,,"0,285",,,,"14,73",,,,,
MTU002,,,UD. TURRON JIJONA 300 GR.,11,   911176T,08/12/2025,,,,,1,"12,1",,,"12,1",,,,,T251208
,,,Total albarán 11911176T,,,,,,,,1,,,,"12,1",,,,,
MCG005,,,UD. SOMBRILLA DE CHOCOLATE 10 GMS.,11,   911189T,08/12/2025,,,,,2,"0,9",,,"1,8",,,,,T251208
,,,Total albarán 11911189T,,,,,,,,2,,,,"1,8",,,,,
MTU002,,,UD. TURRON JIJONA 300 GR.,11,   911213T,08/12/2025,,,,,1,"12,1",,,"12,1",,,,,T251208
MTU001,,,UD. TURRON ALICANTE 300 GR.,11,   911213T,08/12/2025,,,,,1,"12,1",,,"12,1",,,,,T251208
,,,Total albarán 11911213T,,,,,,,,2,,,,"24,2",,,,,
MVH012,,,UD. BOTELLA COCA COLA,11,   911227T,08/12/2025,,,,,1,2,,,2,,,,,T251208
,,,Total albarán 11911227T,,,,,,,,1,,,,2,,,,,
,04/03/2026 20:10:38,,,,,,,,,,,,,,,,,Página: 28,,
MVH010B,,,UD. BOTELLA AGUA 1/2 L. AQUABONA,11,   911260T,08/12/2025,,,,,1,"1,1",,,"1,1",,,,,T251208
,,,Total albarán 11911260T,,,,,,,,1,,,,"1,1",,,,,
MCG001F,,,UD. HUEVO PATRULLA CANINA,11,   911274T,08/12/2025,,,,,1,"1,5",,,"1,5",,,,,T251208
,,,Total albarán 11911274T,,,,,,,,1,,,,"1,5",,,,,
MFA004,,,KG. MARRON GLACE,11,   911287T,08/12/2025,,,,,"0,055","61,6",,,"3,39",,,,,T251208
,,,Total albarán 11911287T,,,,,,,,"0,055",,,,"3,39",,,,,
MBB003,,,KG. LENGUAS DE GATO,11,   911288T,08/12/2025,,,,,"0,52","34,1",,,"17,73",,,,,T251208
,,,Total albarán 11911288T,,,,,,,,"0,52",,,,"17,73",,,,,
MTU016,,,KG. POLVORONES Y MANTECADOS,11,   911324T,08/12/2025,,,,,"0,44","19,8",,,"8,71",,,,,T251208
,,,Total albarán 11911324T,,,,,,,,"0,44",,,,"8,71",,,,,
MTU016A,,,KG. MANTECADOS FELIPE II,11,   911336T,08/12/2025,,,,,"0,3",55,,,"16,5",,,,,T251208
,,,Total albarán 11911336T,,,,,,,,"0,3",,,,"16,5",,,,,
MVH010B,,,UD. BOTELLA AGUA 1/2 L. AQUABONA,11,   911352T,08/12/2025,,,,,1,"1,1",,,"1,1",,,,,T251208
,,,Total albarán 11911352T,,,,,,,,1,,,,"1,1",,,,,
MTU011,,,KG. PASTELES YEMA,11,   911355T,08/12/2025,,,,,"0,28","38,5",,,"10,78",,,,,T251208
,,,Total albarán 11911355T,,,,,,,,"0,28",,,,"10,78",,,,,
MVH010B,,,UD. BOTELLA AGUA 1/2 L. AQUABONA,11,   911359T,08/12/2025,,,,,1,"1,1",,,"1,1",,,,,T251208
,,,Total albarán 11911359T,,,,,,,,1,,,,"1,1",,,,,
MCN001,,,UD. CHUPA CHUPS,11,   911377T,08/12/2025,,,,,2,"0,3",,,"0,6",,,,,T251208
,,,Total albarán 11911377T,,,,,,,,2,,,,"0,6",,,,,
MCG005,,,UD. SOMBRILLA DE CHOCOLATE 10 GMS.,11,   911383T,08/12/2025,,,,,2,"0,9",,,"1,8",,,,,T251208
,,,Total albarán 11911383T,,,,,,,,2,,,,"1,8",,,,,
MFA001,,,KG. FRUTA ESCARCHADA,11,   911384T,08/12/2025,,,,,"0,5","29,7",,,"14,85",,,,,T251208
,,,Total albarán 11911384T,,,,,,,,"0,5",,,,"14,85",,,,,
MTU019,,,UD. BOLSA PIÑONES 150 GR.,11,   911387T,08/12/2025,,,,,1,11,,,11,,,,,T251208
,,,Total albarán 11911387T,,,,,,,,1,,,,11,,,,,
MBB003,,,KG. LENGUAS DE GATO,11,   911397T,08/12/2025,,,,,"0,16","34,1",,,"5,46",,,,,T251208
MVH010B,,,UD. BOTELLA AGUA 1/2 L. AQUABONA,11,   911397T,08/12/2025,,,,,1,"1,1",,,"1,1",,,,,T251208
,,,Total albarán 11911397T,,,,,,,,"1,16",,,,"6,56",,,,,
MBE000E,,,UD. ESTUCHE BOMBONES SURTIDOS 200 GR.,11,   911401T,08/12/2025,,,,,2,12,,,24,,,,,T251208
,04/03/2026 20:10:38,,,,,,,,,,,,,,,,,Página: 29,,
,,,Total albarán 11911401T,,,,,,,,2,,,,24,,,,,
MTU010,,,KG. ALMENDRAS RELLENAS,11,   911404T,08/12/2025,,,,,"0,25","41,8",,,"10,45",,,,,T251208
,,,Total albarán 11911404T,,,,,,,,"0,25",,,,"10,45",,,,,
MVH010B,,,UD. BOTELLA AGUA 1/2 L. AQUABONA,11,   911408T,08/12/2025,,,,,1,"1,1",,,"1,1",,,,,T251208
,,,Total albarán 11911408T,,,,,,,,1,,,,"1,1",,,,,
MTU010,,,KG. ALMENDRAS RELLENAS,11,   911413T,08/12/2025,,,,,"0,07","41,8",,,"2,93",,,,,T251208
,,,Total albarán 11911413T,,,,,,,,"0,07",,,,"2,93",,,,,
MVH010B,,,UD. BOTELLA AGUA 1/2 L. AQUABONA,11,   911415T,08/12/2025,,,,,2,"1,1",,,"2,2",,,,,T251208
,,,Total albarán 11911415T,,,,,,,,2,,,,"2,2",,,,,
MVH008,,,"UD. AGUA MINERAL DE 1, 5 L. AQUABONA",11,   911416T,08/12/2025,,,,,1,"1,75",,,"1,75",,,,,T251208
,,,Total albarán 11911416T,,,,,,,,1,,,,"1,75",,,,,
MFA001,,,KG. FRUTA ESCARCHADA,11,   911418T,08/12/2025,,,,,"0,5","29,7",,,"14,85",,,,,T251208
,,,Total albarán 11911418T,,,,,,,,"0,5",,,,"14,85",,,,,
MBE000E,,,UD. ESTUCHE BOMBONES SURTIDOS 200 GR.,11,   911419T,08/12/2025,,,,,1,12,,,12,,,,,T251208
,,,Total albarán 11911419T,,,,,,,,1,,,,12,,,,,
MTU010,,,KG. ALMENDRAS RELLENAS,11,   911424T,08/12/2025,,,,,"0,3","41,8",,,"12,54",,,,,T251208
,,,Total albarán 11911424T,,,,,,,,"0,3",,,,"12,54",,,,,
MBB003,,,KG. LENGUAS DE GATO,11,   911433T,08/12/2025,,,,,"0,3","34,1",,,"10,23",,,,,T251208
,,,Total albarán 11911433T,,,,,,,,"0,3",,,,"10,23",,,,,
MBB003,,,KG. LENGUAS DE GATO,11,   911435T,08/12/2025,,,,,"0,045","34,1",,,"1,53",,,,,T251208
,,,Total albarán 11911435T,,,,,,,,"0,045",,,,"1,53",,,,,
MTU010,,,KG. ALMENDRAS RELLENAS,11,   911442T,08/12/2025,,,,,"0,15","41,8",,,"6,27",,,,,T251208
,,,Total albarán 11911442T,,,,,,,,"0,15",,,,"6,27",,,,,
MTU018,,,UD. BOLSA PELADILLA 150 GR.,11,   911450T,08/12/2025,,,,,1,"6,05",,,"6,05",,,,,T251208
MTU019,,,UD. BOLSA PIÑONES 150 GR.,11,   911450T,08/12/2025,,,,,1,11,,,11,,,,,T251208
MCK015A,,,UD. TUBO MENTOS FRUTAS 38 GR.,11,   911450T,08/12/2025,,,,,1,"1,1",,,"1,1",,,,,T251208
,,,Total albarán 11911450T,,,,,,,,3,,,,"18,15",,,,,
MTU016,,,KG. POLVORONES Y MANTECADOS,11,   911451T,08/12/2025,,,,,"0,2","19,8",,,"3,96",,,,,T251208
,,,Total albarán 11911451T,,,,,,,,"0,2",,,,"3,96",,,,,
MTU016,,,KG. POLVORONES Y MANTECADOS,11,   911468T,08/12/2025,,,,,"0,225","19,8",,,"4,46",,,,,T251208
,04/03/2026 20:10:38,,,,,,,,,,,,,,,,,Página: 30,,
,,,Total albarán 11911468T,,,,,,,,"0,225",,,,"4,46",,,,,
MBB003,,,KG. LENGUAS DE GATO,11,   911470T,08/12/2025,,,,,"0,075","34,1",,,"2,56",,,,,T251208
,,,Total albarán 11911470T,,,,,,,,"0,075",,,,"2,56",,,,,
MFA001,,,KG. FRUTA ESCARCHADA,11,   911475T,08/12/2025,,,,,"0,5","29,7",,,"14,85",,,,,T251208
,,,Total albarán 11911475T,,,,,,,,"0,5",,,,"14,85",,,,,
MVH008,,,"UD. AGUA MINERAL DE 1, 5 L. AQUABONA",11,   911490T,08/12/2025,,,,,1,"1,75",,,"1,75",,,,,T251208
,,,Total albarán 11911490T,,,,,,,,1,,,,"1,75",,,,,
MTU016,,,KG. POLVORONES Y MANTECADOS,11,   911492T,08/12/2025,,,,,"0,52","19,8",,,"10,3",,,,,T251208
,,,Total albarán 11911492T,,,,,,,,"0,52",,,,"10,3",,,,,
MTU011,,,KG. PASTELES YEMA,11,   911496T,08/12/2025,,,,,"0,185","38,5",,,"7,12",,,,,T251208
,,,Total albarán 11911496T,,,,,,,,"0,185",,,,"7,12",,,,,
MVH010B,,,UD. BOTELLA AGUA 1/2 L. AQUABONA,11,   911498T,09/12/2025,,,,,1,"1,1",,,"1,1",,,,,T251209
,,,Total albarán 11911498T,,,,,,,,1,,,,"1,1",,,,,
MVH008,,,"UD. AGUA MINERAL DE 1, 5 L. AQUABONA",11,   911501T,09/12/2025,,,,,1,"1,75",,,"1,75",,,,,T251209
,,,Total albarán 11911501T,,,,,,,,1,,,,"1,75",,,,,
MBB001,,,KG. BOMBONES SURTIDOS,11,   911511T,09/12/2025,,,,,"0,25","51,7",,,"12,93",,,,,T251209
,,,Total albarán 11911511T,,,,,,,,"0,25",,,,"12,93",,,,,
MVH010B,,,UD. BOTELLA AGUA 1/2 L. AQUABONA,11,   911523T,09/12/2025,,,,,1,"1,1",,,"1,1",,,,,T251209
,,,Total albarán 11911523T,,,,,,,,1,,,,"1,1",,,,,
MTU016,,,KG. POLVORONES Y MANTECADOS,11,   911526T,09/12/2025,,,,,"0,77","19,8",,,"15,25",,,,,T251209
,,,Total albarán 11911526T,,,,,,,,"0,77",,,,"15,25",,,,,
MBB001,,,KG. BOMBONES SURTIDOS,11,   911535T,09/12/2025,,,,,"0,2","51,7",,,"10,34",,,,,T251209
,,,Total albarán 11911535T,,,,,,,,"0,2",,,,"10,34",,,,,
MCN001,,,UD. CHUPA CHUPS,11,   911540T,09/12/2025,,,,,5,"0,3",,,"1,5",,,,,T251209
,,,Total albarán 11911540T,,,,,,,,5,,,,"1,5",,,,,
MVA001,,,UD. VELA NUMERO,11,   911541T,09/12/2025,,,,,2,"0,99",,,"1,98",,,,,T251209
,,,Total albarán 11911541T,,,,,,,,2,,,,"1,98",,,,,
MTU011,,,KG. PASTELES YEMA,11,   911550T,09/12/2025,,,,,"0,25","38,5",,,"9,63",,,,,T251209
,,,Total albarán 11911550T,,,,,,,,"0,25",,,,"9,63",,,,,
MCO004L,,,UD. BOTE TRIDENT MENTA,11,   911559T,09/12/2025,,,,,1,"3,5",,,"3,5",,,,,T251209
,04/03/2026 20:10:39,,,,,,,,,,,,,,,,,Página: 31,,
,,,Total albarán 11911559T,,,,,,,,1,,,,"3,5",,,,,
MBB003,,,KG. LENGUAS DE GATO,11,   911561T,09/12/2025,,,,,"0,03","34,1",,,"1,02",,,,,T251209
,,,Total albarán 11911561T,,,,,,,,"0,03",,,,"1,02",,,,,
MTU011,,,KG. PASTELES YEMA,11,   911572T,09/12/2025,,,,,"0,4","38,5",,,"15,4",,,,,T251209
,,,Total albarán 11911572T,,,,,,,,"0,4",,,,"15,4",,,,,
MVH010B,,,UD. BOTELLA AGUA 1/2 L. AQUABONA,11,   911577T,09/12/2025,,,,,1,"1,1",,,"1,1",,,,,T251209
,,,Total albarán 11911577T,,,,,,,,1,,,,"1,1",,,,,
MCK015A,,,UD. TUBO MENTOS FRUTAS 38 GR.,11,   911579T,09/12/2025,,,,,2,"1,1",,,"2,2",,,,,T251209
,,,Total albarán 11911579T,,,,,,,,2,,,,"2,2",,,,,
MVH008,,,"UD. AGUA MINERAL DE 1, 5 L. AQUABONA",11,   911580T,09/12/2025,,,,,1,"1,75",,,"1,75",,,,,T251209
,,,Total albarán 11911580T,,,,,,,,1,,,,"1,75",,,,,
MTU018,,,UD. BOLSA PELADILLA 150 GR.,11,   911589T,09/12/2025,,,,,1,"6,05",,,"6,05",,,,,T251209
,,,Total albarán 11911589T,,,,,,,,1,,,,"6,05",,,,,
MFA004,,,KG. MARRON GLACE,11,   911591T,09/12/2025,,,,,"0,24","61,6",,,"14,78",,,,,T251209
,,,Total albarán 11911591T,,,,,,,,"0,24",,,,"14,78",,,,,
MTU010,,,KG. ALMENDRAS RELLENAS,11,   911592T,09/12/2025,,,,,"0,12","41,8",,,"5,02",,,,,T251209
MTU012,,,KG. PASTELES YEMA-CHOCOLATE,11,   911592T,09/12/2025,,,,,"0,04","38,5",,,"1,54",,,,,T251209
MTU016,,,KG. POLVORONES Y MANTECADOS,11,   911592T,09/12/2025,,,,,"0,085","19,8",,,"1,68",,,,,T251209
,,,Total albarán 11911592T,,,,,,,,"0,245",,,,"8,24",,,,,
MCG005,,,UD. SOMBRILLA DE CHOCOLATE 10 GMS.,11,   911603T,09/12/2025,,,,,2,"0,9",,,"1,8",,,,,T251209
,,,Total albarán 11911603T,,,,,,,,2,,,,"1,8",,,,,
MTU010,,,KG. ALMENDRAS RELLENAS,11,   911605T,09/12/2025,,,,,"0,09","41,8",,,"3,76",,,,,T251209
,,,Total albarán 11911605T,,,,,,,,"0,09",,,,"3,76",,,,,
MTU011,,,KG. PASTELES YEMA,11,   911626T,09/12/2025,,,,,"0,075","38,5",,,"2,89",,,,,T251209
,,,Total albarán 11911626T,,,,,,,,"0,075",,,,"2,89",,,,,
MCF016Y,,,UD. CHOC. SIN AZU. AÑA. CON LECHE S. COLL 85 GR.,11,   911628T,09/12/2025,,,,,2,"3,3",,,"6,6",,,,,T251209
,,,Total albarán 11911628T,,,,,,,,2,,,,"6,6",,,,,
MCJ003D,,,UD. BOLSA CARAMELO NARANJA 175 GR.,11,   911630T,09/12/2025,,,,,1,"3,3",,,"3,3",,,,,T251209
,,,Total albarán 11911630T,,,,,,,,1,,,,"3,3",,,,,
MBB003,,,KG. LENGUAS DE GATO,11,   911631T,09/12/2025,,,,,"0,32","34,1",,,"10,91",,,,,T251209
,04/03/2026 20:10:39,,,,,,,,,,,,,,,,,Página: 32,,
MBB001,,,KG. BOMBONES SURTIDOS,11,   911631T,09/12/2025,,,,,"0,145","51,7",,,"7,5",,,,,T251209
,,,Total albarán 11911631T,,,,,,,,"0,465",,,,"18,41",,,,,
MBB003,,,KG. LENGUAS DE GATO,11,   911658T,09/12/2025,,,,,"0,03","34,1",,,"1,02",,,,,T251209
,,,Total albarán 11911658T,,,,,,,,"0,03",,,,"1,02",,,,,
MVH012,,,UD. BOTELLA COCA COLA,11,   911662T,09/12/2025,,,,,1,2,,,2,,,,,T251209
,,,Total albarán 11911662T,,,,,,,,1,,,,2,,,,,
MCG007C,,,UD. MEDALLON SANTO TOME 60 GR.,11,   911667T,09/12/2025,,,,,3,"2,75",,,"8,25",,,,,T251209
,,,Total albarán 11911667T,,,,,,,,3,,,,"8,25",,,,,
MTU010,,,KG. ALMENDRAS RELLENAS,11,   911699T,09/12/2025,,,,,"0,025","41,8",,,"1,05",,,,,T251209
,,,Total albarán 11911699T,,,,,,,,"0,025",,,,"1,05",,,,,
MVH008,,,"UD. AGUA MINERAL DE 1, 5 L. AQUABONA",11,   911709T,09/12/2025,,,,,1,"1,75",,,"1,75",,,,,T251209
,,,Total albarán 11911709T,,,,,,,,1,,,,"1,75",,,,,
MVH010B,,,UD. BOTELLA AGUA 1/2 L. AQUABONA,11,   911716T,09/12/2025,,,,,2,"1,1",,,"2,2",,,,,T251209
,,,Total albarán 11911716T,,,,,,,,2,,,,"2,2",,,,,
MTU016A,,,KG. MANTECADOS FELIPE II,11,   911728T,09/12/2025,,,,,"0,31",55,,,"17,05",,,,,T251209
,,,Total albarán 11911728T,,,,,,,,"0,31",,,,"17,05",,,,,
MFA001,,,KG. FRUTA ESCARCHADA,11,   911739T,09/12/2025,,,,,"0,09","29,7",,,"2,67",,,,,T251209
,,,Total albarán 11911739T,,,,,,,,"0,09",,,,"2,67",,,,,
MBB001,,,KG. BOMBONES SURTIDOS,11,   911741T,09/12/2025,,,,,"0,045","51,7",,,"2,33",,,,,T251209
,,,Total albarán 11911741T,,,,,,,,"0,045",,,,"2,33",,,,,
MBB001,,,KG. BOMBONES SURTIDOS,11,   911775T,09/12/2025,,,,,"0,1","51,7",,,"5,17",,,,,T251209
MBB003,,,KG. LENGUAS DE GATO,11,   911775T,09/12/2025,,,,,"0,08","34,1",,,"2,73",,,,,T251209
,,,Total albarán 11911775T,,,,,,,,"0,18",,,,"7,9",,,,,
MCG006A,,,UD. SOMBRILLA DE CHOCOLATE 15 GMS.,11,   911778T,09/12/2025,,,,,1,"1,1",,,"1,1",,,,,T251209
,,,Total albarán 11911778T,,,,,,,,1,,,,"1,1",,,,,
MBB001,,,KG. BOMBONES SURTIDOS,11,   911781T,09/12/2025,,,,,"0,435","51,7",,,"22,49",,,,,T251209
MVH010B,,,UD. BOTELLA AGUA 1/2 L. AQUABONA,11,   911781T,09/12/2025,,,,,1,"1,1",,,"1,1",,,,,T251209
,,,Total albarán 11911781T,,,,,,,,"1,435",,,,"23,59",,,,,
MTU010,,,KG. ALMENDRAS RELLENAS,11,   911785T,09/12/2025,,,,,"0,07","41,8",,,"2,93",,,,,T251209
,,,Total albarán 11911785T,,,,,,,,"0,07",,,,"2,93",,,,,
MTU010,,,KG. ALMENDRAS RELLENAS,11,   911795T,09/12/2025,,,,,"0,01","41,8",,,"0,42",,,,,T251209
,04/03/2026 20:10:39,,,,,,,,,,,,,,,,,Página: 33,,
,,,Total albarán 11911795T,,,,,,,,"0,01",,,,"0,42",,,,,
MTU016A,,,KG. MANTECADOS FELIPE II,11,   911801T,09/12/2025,,,,,"0,16",55,,,"8,8",,,,,T251209
,,,Total albarán 11911801T,,,,,,,,"0,16",,,,"8,8",,,,,
MTU001,,,UD. TURRON ALICANTE 300 GR.,11,   911802T,09/12/2025,,,,,1,"12,1",,,"12,1",,,,,T251209
,,,Total albarán 11911802T,,,,,,,,1,,,,"12,1",,,,,
MTU011,,,KG. PASTELES YEMA,11,   911803T,09/12/2025,,,,,"0,5","38,5",,,"19,25",,,,,T251209
,,,Total albarán 11911803T,,,,,,,,"0,5",,,,"19,25",,,,,
MVH010B,,,UD. BOTELLA AGUA 1/2 L. AQUABONA,11,   911805T,09/12/2025,,,,,1,"1,1",,,"1,1",,,,,T251209
,,,Total albarán 11911805T,,,,,,,,1,,,,"1,1",,,,,
MVH012A,,,UD. BOTELLA COCA COLA ZERO,11,   911826T,09/12/2025,,,,,1,2,,,2,,,,,T251209
,,,Total albarán 11911826T,,,,,,,,1,,,,2,,,,,
MCG005,,,UD. SOMBRILLA DE CHOCOLATE 10 GMS.,11,   911834T,09/12/2025,,,,,4,"0,9",,,"3,6",,,,,T251209
,,,Total albarán 11911834T,,,,,,,,4,,,,"3,6",,,,,
MVA001,,,UD. VELA NUMERO,11,   911843T,09/12/2025,,,,,2,"0,99",,,"1,98",,,,,T251209
,,,Total albarán 11911843T,,,,,,,,2,,,,"1,98",,,,,
MVH008,,,"UD. AGUA MINERAL DE 1, 5 L. AQUABONA",11,   911845T,09/12/2025,,,,,1,"1,75",,,"1,75",,,,,T251209
,,,Total albarán 11911845T,,,,,,,,1,,,,"1,75",,,,,
MVH010B,,,UD. BOTELLA AGUA 1/2 L. AQUABONA,11,   911846T,09/12/2025,,,,,1,"1,1",,,"1,1",,,,,T251209
,,,Total albarán 11911846T,,,,,,,,1,,,,"1,1",,,,,
MTU016,,,KG. POLVORONES Y MANTECADOS,11,   911859T,10/12/2025,,,,,"0,5","19,8",,,"9,9",,,,,T251210
,,,Total albarán 11911859T,,,,,,,,"0,5",,,,"9,9",,,,,
MFA001,,,KG. FRUTA ESCARCHADA,11,   911861T,10/12/2025,,,,,"0,435","29,7",,,"12,92",,,,,T251210
MTU012,,,KG. PASTELES YEMA-CHOCOLATE,11,   911861T,10/12/2025,,,,,"0,9","38,5",,,"34,65",,,,,T251210
MTU019,,,UD. BOLSA PIÑONES 150 GR.,11,   911861T,10/12/2025,,,,,1,11,,,11,,,,,T251210
MTU002,,,UD. TURRON JIJONA 300 GR.,11,   911861T,10/12/2025,,,,,1,"12,1",,,"12,1",,,,,T251210
MBB001,,,KG. BOMBONES SURTIDOS,11,   911861T,10/12/2025,,,,,"0,6","51,7",,,"31,02",,,,,T251210
,,,Total albarán 11911861T,,,,,,,,"3,935",,,,"101,69",,,,,
MTU016,,,KG. POLVORONES Y MANTECADOS,11,   911864T,10/12/2025,,,,,"0,215","19,8",,,"4,26",,,,,T251210
,,,Total albarán 11911864T,,,,,,,,"0,215",,,,"4,26",,,,,
MBB001,,,KG. BOMBONES SURTIDOS,11,   911866T,10/12/2025,,,,,"0,23","51,7",,,"11,89",,,,,T251210
,04/03/2026 20:10:39,,,,,,,,,,,,,,,,,Página: 34,,
MBB001,,,KG. BOMBONES SURTIDOS,11,   911866T,10/12/2025,,,,,"0,22","51,7",,,"11,37",,,,,T251210
,,,Total albarán 11911866T,,,,,,,,"0,45",,,,"23,26",,,,,
MFA004,,,KG. MARRON GLACE,11,   911882T,10/12/2025,,,,,"0,175","61,6",,,"10,78",,,,,T251210
,,,Total albarán 11911882T,,,,,,,,"0,175",,,,"10,78",,,,,
MTU016,,,KG. POLVORONES Y MANTECADOS,11,   911897T,10/12/2025,,,,,"0,5","19,8",,,"9,9",,,,,T251210
,,,Total albarán 11911897T,,,,,,,,"0,5",,,,"9,9",,,,,
MTU016,,,KG. POLVORONES Y MANTECADOS,11,   911899T,10/12/2025,,,,,1,"19,8",,,"19,8",,,,,T251210
,,,Total albarán 11911899T,,,,,,,,1,,,,"19,8",,,,,
MCF015X,,,UD. CHOC. 100 GR. CACHET ORANGE & ALMONS 57 %,11,   911908T,10/12/2025,,,,,1,3,,,3,,,,,T251210
,,,Total albarán 11911908T,,,,,,,,1,,,,3,,,,,
MVH012,,,UD. BOTELLA COCA COLA,11,   911913T,10/12/2025,,,,,1,2,,,2,,,,,T251210
,,,Total albarán 11911913T,,,,,,,,1,,,,2,,,,,
MTU002,,,UD. TURRON JIJONA 300 GR.,11,   911926T,10/12/2025,,,,,1,"12,1",,,"12,1",,,,,T251210
,,,Total albarán 11911926T,,,,,,,,1,,,,"12,1",,,,,
